reporter_area_code,reporter_area_label,indicator_code,indicator_label,indicator_previous_code,partner_area_code,partner_area_label,year,value,flag,flag_label,unit,notes
360,Indonesia,GVAT_ACCM_HOTL_USDN,"Gross Value Added (GVA) by tourism industry - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - US dollars, nominal",CP_4_10,,,2011,4532.7,,,"million US dollars (nominal values, at basic prices)",
360,Indonesia,GVAT_ACCM_HOTL_USDN,"Gross Value Added (GVA) by tourism industry - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - US dollars, nominal",CP_4_10,,,2012,5301.4,,,"million US dollars (nominal values, at basic prices)",
360,Indonesia,GVAT_ACCM_HOTL_USDN,"Gross Value Added (GVA) by tourism industry - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - US dollars, nominal",CP_4_10,,,2013,5688,,,"million US dollars (nominal values, at basic prices)",
360,Indonesia,GVAT_ACCM_HOTL_USDN,"Gross Value Added (GVA) by tourism industry - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - US dollars, nominal",CP_4_10,,,2014,6251.3,,,"million US dollars (nominal values, at basic prices)",
360,Indonesia,GVAT_ACCM_HOTL_USDN,"Gross Value Added (GVA) by tourism industry - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - US dollars, nominal",CP_4_10,,,2015,6066.2,,,"million US dollars (nominal values, at basic prices)",
360,Indonesia,GVAT_ACCM_HOTL_USDN,"Gross Value Added (GVA) by tourism industry - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - US dollars, nominal",CP_4_10,,,2016,6071.1,,,"million US dollars (nominal values, at basic prices)",
360,Indonesia,GVAT_ACCM_HOTL_USDN,"Gross Value Added (GVA) by tourism industry - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - US dollars, nominal",CP_4_10,,,2017,6862.1,,,"million US dollars (nominal values, at basic prices)",
360,Indonesia,GVAT_ACCM_HOTL_USDN,"Gross Value Added (GVA) by tourism industry - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - US dollars, nominal",CP_4_10,,,2018,3941.8,,,"million US dollars (nominal values, at basic prices)",
360,Indonesia,GVAT_ACCM_HOTL_USDN,"Gross Value Added (GVA) by tourism industry - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - US dollars, nominal",CP_4_10,,,2019,3883.3,,,"million US dollars (nominal values, at basic prices)",
360,Indonesia,GVAT_AGCY_TOTL_USDN,"Gross Value Added (GVA) by tourism industry - travel agencies - total - US dollars, nominal",CP_4_22,,,2019,1030,,,"million US dollars (nominal values, at basic prices)",
360,Indonesia,GVAT_AGCY_TOTL_USDN,"Gross Value Added (GVA) by tourism industry - travel agencies - total - US dollars, nominal",CP_4_22,,,2020,241.3,,,"million US dollars (nominal values, at basic prices)",
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,1995,334856,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,1996,369798,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,1997,394678,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,1998,414483,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,1999,415725,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,2000,422317,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,2001,423519,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,2002,423908,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,2003,428813,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,2004,441032,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,2005,449622,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,2006,456021,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,2007,516919,,,units,
360,Indonesia,CPTY_ACCM_HOTL_BEDS,"capacity - accommodation - short-term accommodation, hotels and similar (ISIC 5510) - bed places",CP_4_15,,,2008,523940,,,units,
