reporter_area_code,reporter_area_label,indicator_code,indicator_label,indicator_previous_code,partner_area_code,partner_area_label,year,value,flag,flag_label,unit,notes
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,4,Afghanistan,2017,0.595,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,4,Afghanistan,2018,1.139,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,4,Afghanistan,2019,0.703,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),1995,48.707,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),1996,14.163,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),1997,28.795,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),1998,24.094,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),1999,22.179,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2000,23.314,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2001,22.961,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2002,25.41,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2003,19.965,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2004,25.069,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2005,51.673,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2006,27.899,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2007,35.487,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2008,33.081,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2009,26.637,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2010,28.592,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2011,31.651,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2012,37.306,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2013,42.607,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2014,45.276,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2015,56.802,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2016,75.189,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2017,89.384,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2018,86.855,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2019,96.293,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2020,16.1,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2021,2.3,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2022,29.1,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2023,71,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,10000,Africa (UNWTO total),2024,88,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,8,Albania,2017,0.592,,,thousand trips,
360,Indonesia,INBD_TRIP_NLTY_VSTR,inbound - trips - by nationality - visitors,YB_121,8,Albania,2018,0.758,,,thousand trips,
